name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,rating,date
Boulder Dash-XL,PC,2011.0,Action,Kalypso Media,0.0,0.01,0.0,0.0,0.01,,,,,,2011-03-03
Yuusha no Kuse ni Namaikida (PSP the Best sales),PSP,2008.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.01,0.0,0.01,,,,,,2008-01-23
Kirarin * Revolution: Atsumete Change! Kurikira * Code,DS,2008.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.01,0.0,0.01,,,,,,2008-03-15
The Sims 2: H&M Fashion Stuff,PC,2007.0,Simulation,Electronic Arts,0.0,0.01,0.0,0.0,0.01,,,,,,2007-08-24
NBA 2K10,PC,2009.0,Sports,Take-Two Interactive,0.0,0.01,0.0,0.0,0.01,85.0,5.0,7.5,40.0,E,2009-09-05
Zero Cho Aniki,PSP,2009.0,Shooter,GungHo,0.0,0.0,0.01,0.0,0.01,,,,,,2009-12-07
Beyond the Legend - Mysteries of Olympus,PC,2016.0,Adventure,GSP,0.0,0.01,0.0,0.0,0.01,,,,,,2016-06-11
Canimal Triple,PSV,2014.0,Misc,Warner Bros. Interactive Entertainment,0.0,0.01,0.0,0.0,0.01,,,,,,2014-02-22
Hokuto no Ken: Raoh Gaiden - Ten no Haoh,PSP,2009.0,Action,Interchannel,0.0,0.0,0.01,0.0,0.01,,,,,,2009-04-11
Survivor,Wii,2010.0,Adventure,Valcon Games,0.01,0.0,0.0,0.0,0.01,,,,,E,2010-08-09
Ever17 \xe3\x80\x9cthe out of infinity\xe3\x80\x9c Premium Edition,PSP,2009.0,Adventure,CyberFront,0.0,0.0,0.01,0.0,0.01,,,,,,2009-11-02
The Smurfs,3DS,2015.0,Action,Ubisoft,0.0,0.01,0.0,0.0,0.01,,,,,,2015-11-20
Neverwinter Nights 2: Storm of Zehir,PC,2008.0,Role-Playing,Atari,0.0,0.01,0.0,0.0,0.01,73.0,15.0,7.2,66.0,T,2008-08-11
Don Bradman Cricket 14,X360,2014.0,Sports,Tru Blu Entertainment,0.0,0.01,0.0,0.0,0.01,,,8.1,17.0,,2014-01-15
Child of Light,PC,2014.0,Role-Playing,Ubisoft,0.0,0.01,0.0,0.0,0.01,77.0,16.0,8.1,483.0,E10+,2014-10-24
Rezel Cross,PSP,2007.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.01,0.0,0.01,,,,,,2007-07-08
Nancy Drew: Secret of the Scarlet Hand,PC,2002.0,Adventure,DreamCatcher Interactive,0.01,0.0,0.0,0.0,0.01,,,,,E,2002-08-25
Nodame Cantabile: Dream * Orchestra,Wii,2007.0,Misc,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,,,,,,2007-08-19
MyStylist,PSP,2008.0,Simulation,Sony Computer Entertainment,0.0,0.0,0.01,0.0,0.01,,,,,,2008-01-07
Inugamike no Ichizoku,DS,2009.0,Action,From Software,0.0,0.0,0.01,0.0,0.01,,,,,,2009-02-04
Bermuda Triangle: Saving the Coral,Wii,2009.0,Puzzle,Unknown,0.01,0.0,0.0,0.0,0.01,,,,,E,2009-04-17
Football Manager 2008,X360,2008.0,Sports,Sega,0.0,0.01,0.0,0.0,0.01,,,,,,2008-01-03
The King of Fighters NESTS Collection,PS2,2007.0,Fighting,SNK Playmore,0.0,0.0,0.01,0.0,0.01,,,,,,2007-05-22
Open Season,GBA,2006.0,Platform,Ubisoft,0.01,0.0,0.0,0.0,0.01,,,7.6,5.0,E,2006-02-05
Oretachi no Sabage Portable,PSP,2008.0,Shooter,Best Media,0.0,0.0,0.01,0.0,0.01,,,,,,2008-08-15
Age of Mythology: Gold Edition,PC,2004.0,Strategy,Microsoft Game Studios,0.0,0.01,0.0,0.0,0.01,,,8.8,22.0,T,2004-12-06
Beijing 2008,PC,2008.0,Sports,Sega,0.0,0.01,0.0,0.0,0.01,,,,,,2008-02-16
RailWorks 2: Train Simulator,PC,2010.0,Simulation,RailSimulator.com,0.0,0.01,0.0,0.0,0.01,,,7.2,6.0,E,2010-02-03
Battle Robot Soul,PSP,2013.0,Action,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,,,,,,2013-03-04
Shin Hisui no Shizuku: Hiiro no Kakera 2,PS2,2009.0,Adventure,Idea Factory,0.0,0.0,0.01,0.0,0.01,,,,,,2009-08-08
Tiger Woods PGA Tour 06,PC,2005.0,Sports,Electronic Arts,0.01,0.0,0.0,0.0,0.01,81.0,14.0,8.1,11.0,E,2005-04-24
Majin Bone: The Majin of Space and Time,3DS,2014.0,Fighting,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,,,,,,2014-10-13
World Snooker Challenge 2005,PSP,2005.0,Sports,Sega,0.0,0.01,0.0,0.0,0.01,,,,,,2005-04-08
Hidden Expedition: The Crown of Solomon,PC,2014.0,Action,Focus Multimedia,0.0,0.01,0.0,0.0,0.01,,,,,,2014-09-08
Eiyuu * Senki,PSV,2014.0,Adventure,5p,0.0,0.0,0.01,0.0,0.01,,,,,,2014-10-02
Phantom: Phantom of Inferno,X360,2011.0,Adventure,Unknown,0.0,0.0,0.01,0.0,0.01,,,,,,2011-08-15
Killer 3D Pool,GBA,2005.0,Misc,Zoo Digital Publishing,0.01,0.0,0.0,0.0,0.01,,,,,E,2005-02-17
Koukou Yakyuu Dou DS,DS,2009.0,Sports,Spike,0.0,0.0,0.01,0.0,0.01,,,,,,2009-02-02
After Burner: Black Falcon,PSP,2007.0,Simulation,Sega,0.01,0.0,0.0,0.0,0.01,73.0,30.0,6.8,8.0,T,2007-02-18
Earthpedia,3DS,2012.0,Misc,Gakken Kyouiku Shuppan,0.0,0.0,0.01,0.0,0.01,,,,,,2012-08-18
Lucius,PC,2012.0,Action,Lace Mamba Global,0.0,0.01,0.0,0.0,0.01,59.0,23.0,6.1,149.0,,2012-03-14
Pilot Academy,PSP,2006.0,Simulation,Rising Star Games,0.0,0.01,0.0,0.0,0.01,67.0,7.0,,,,2006-08-22
